"manufacturer","model","kind_code","source_maker_no","source_model_no","source_details","excluded_before_2008_details","reason","sample_details"
"기아","레토나","B","10056","100396","2","2","all_details_before_2008","레토나밴 (98~03년) [latest=2003]; 레토나 (98~03년) [latest=2003]"
"기아","록스타","B","10056","100398","3","3","all_details_before_2008","록스타밴 (90~97년) [latest=1997]; 록스타R2 (93~97년) [latest=1997]; 록스타 (90~93년) [latest=1993]"
"기아","리오","A","10056","100273","2","2","all_details_before_2008","리오SF (02~05년) [latest=2005]; 리오 (99~02년) [latest=2002]"
"기아","베스타","C","10056","100415","4","4","all_details_before_2008","하이베스타밴 (92~97년) [latest=1997]; 하이베스타 (92~97년) [latest=1997]; 베스타밴 (90~97년) [latest=1997]"
"기아","복사","D","10056","100425","1","1","all_details_before_2008","복사 (~93년) [latest=1993]"
"기아","봉고3미니버스","C","10056","100417","2","2","all_details_before_2008","봉고3미니버스밴 (04~05년) [latest=2005]; 봉고3미니버스 (04~05년) [latest=2005]"
"기아","비스토","A","10056","100355","1","1","all_details_before_2008","비스토 (99~04년) [latest=2004]"
"기아","세피아","A","10056","100335","3","3","all_details_before_2008","세피아2 (97~01년) [latest=2001]; 세피아레오 (92~97년) [latest=1997]; 세피아 (92~97년) [latest=1997]"
"기아","슈마","A","10056","100339","1","1","all_details_before_2008","슈마 (97~01년) [latest=2001]"
"기아","스펙트라","A","10056","100240","2","2","all_details_before_2008","스펙트라윙 (00~01년) [latest=2001]; 스펙트라 (00~04년) [latest=2004]"
"기아","아벨라","A","10056","100290","2","2","all_details_before_2008","아벨라델타 (95~99년) [latest=1999]; 아벨라 (94~00년) [latest=2000]"
"기아","엑스트렉","B","10056","100393","1","1","all_details_before_2008","엑스트렉 (03~06년) [latest=2006]"
"기아","엔터프라이즈","A","10056","100385","1","1","all_details_before_2008","엔터프라이즈 (97~02년) [latest=2002]"
"기아","엘란","A","10056","100381","1","1","all_details_before_2008","엘란 (96~00년) [latest=2000]"
"기아","옵티마","A","10056","100378","2","2","all_details_before_2008","옵티마리갈 (02~05년) [latest=2005]; 옵티마 (00~05년) [latest=2005]"
"기아","카스타","B","10056","100414","1","1","all_details_before_2008","카스타 (99~02년) [latest=2002]"
"기아","캐피탈","A","10056","100327","1","1","all_details_before_2008","캐피탈 (89~96년) [latest=1996]"
"기아","콩코드","A","10056","100369","1","1","all_details_before_2008","콩코드 (~91년) [latest=1991]"
"기아","크레도스","A","10056","100372","2","2","all_details_before_2008","크레도스2 (98~00년) [latest=2000]; 크레도스 (95~98년) [latest=1998]"
"기아","타우너","C","10056","100364","3","3","all_details_before_2008","타우너트럭 (92~02년) [latest=2002]; 타우너밴 (92~02년) [latest=2002]; 타우너 (92~02년) [latest=2002]"
"기아","타이탄","D","10056","100429","1","1","all_details_before_2008","타이탄 (~97년) [latest=1997]"
"기아","토픽","C","10056","100420","2","2","all_details_before_2008","토픽밴 (~99년) [latest=1999]; 토픽 (~99년) [latest=1999]"
"기아","파크타운","A","10056","100431","1","1","all_details_before_2008","파크타운 (98~00년) [latest=2000]"
"기아","포텐샤","A","10056","100391","2","2","all_details_before_2008","뉴포텐샤 (97~02년) [latest=2002]; 포텐샤 (92~97년) [latest=1997]"
"기아","프레지오","C","10056","100422","2","2","all_details_before_2008","프레지오밴 (95~04년) [latest=2004]; 프레지오 (95~04년) [latest=2004]"
"닛산","로렐","A","10071","100605","1","1","all_details_before_2008","로렐 (~02년) [latest=2002]"
"닛산","세드릭","A","10071","100614","1","1","all_details_before_2008","세드릭 (~04년) [latest=2004]"
"닛산","세피로","A","10071","100615","1","1","all_details_before_2008","세피로 (~03년) [latest=2003]"
"닛산","실비아","A","10071","100619","1","1","all_details_before_2008","실비아 (~02년) [latest=2002]"
"닛산","프레리","B","10071","100633","1","1","all_details_before_2008","프레리 (~04년) [latest=2004]"
"닛산","휘가로","A","10071","100636","1","1","all_details_before_2008","휘가로 (91~91년) [latest=1991]"
"닛산","SX","A","10071","100637","3","3","all_details_before_2008","240SX (89~98년) [latest=1998]; 200SX (~02년) [latest=2002]; 180SX (89~98년) [latest=1998]"
